Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt10058816,8,2019-08-26,The Righteous Gemstones: The Righteous Gemstones,https://www.imdb.com/title/tt10058816/,tvEpisode,8.2,62,2019,Comedy,905,2019-08-18,Danny McBride
tt1016268,8,2013-04-27,Enron: The Smartest Guys in the Room,https://www.imdb.com/title/tt1016268/,movie,7.6,110,2005,"Documentary, Biography, History",16548,2005-04-22,Alex Gibney
tt0101889,8,2010-04-03,The Fisher King,https://www.imdb.com/title/tt0101889/,movie,7.5,137,1991,"Comedy, Drama, Fantasy",78020,1991-09-10,Terry Gilliam
tt0102059,8,2020-09-11,Hot Shots!,https://www.imdb.com/title/tt0102059/,movie,6.8,84,1991,"Action, Comedy",97724,1991-07-26,Jim Abrahams
tt0102109,10,2016-06-12,In a Child's Name,https://www.imdb.com/title/tt0102109/,tvMiniSeries,7.8,192,1991,"Biography, Drama, Thriller",539,1991-11-17,
tt1023499,8,2010-10-10,The Brothers Warner,https://www.imdb.com/title/tt1023499/,tvMovie,7.3,94,2007,"Documentary, Biography, History",420,2007-06-30,Cass Warner
tt0102789,6,2017-05-07,Ricochet,https://www.imdb.com/title/tt0102789/,movie,6.2,102,1991,"Action, Crime, Drama, Thriller",15833,1991-10-04,Russell Mulcahy
tt0102798,5,2009-11-15,Robin Hood: Prince of Thieves,https://www.imdb.com/title/tt0102798/,movie,6.9,143,1991,"Action, Adventure, Drama, Romance",175417,1991-06-14,Kevin Reynolds
tt10289986,9,2019-05-15,Last Week Tonight with John Oliver: Green New Deal,https://www.imdb.com/title/tt10289986/,tvEpisode,8.2,29,2019,"Comedy, News, Talk-Show",245,2019-05-12,Paul Pennolino
tt0001032,6,2019-07-25,The Sealed Room,https://www.imdb.com/title/tt0001032/,short,6.0,11,1909,"Short, Drama, History, Thriller",729,1909-09-02,D.W. Griffith
tt0103241,8,2015-09-01,What About Bob?,https://www.imdb.com/title/tt0103241/,movie,7.0,99,1991,Comedy,61530,1991-05-17,Frank Oz
tt0103258,7,2019-10-10,"Wife, Mother, Murderer",https://www.imdb.com/title/tt0103258/,tvMovie,6.8,96,1991,Drama,352,1991-11-10,Mel Damski
tt0103466,9,2015-07-25,The Larry Sanders Show,https://www.imdb.com/title/tt0103466/,tvSeries,8.4,30,1992,Comedy,7347,1992-08-15,
tt0103893,6,2010-02-05,Buffy the Vampire Slayer,https://www.imdb.com/title/tt0103893/,movie,5.7,86,1992,"Action, Comedy, Fantasy, Horror",39175,1992-07-31,Fran Rubel Kuzui
tt0104070,8,2020-03-21,Death Becomes Her,https://www.imdb.com/title/tt0104070/,movie,6.6,104,1992,"Comedy, Fantasy, Horror",101191,1992-07-13,Robert Zemeckis
tt0104257,9,2018-09-05,A Few Good Men,https://www.imdb.com/title/tt0104257/,movie,7.7,138,1992,"Drama, Thriller",230476,1992-12-02,Rob Reiner
tt0104352,6,2018-09-01,Gojira vs. Mosura,https://www.imdb.com/title/tt0104352/,movie,6.2,102,1992,"Action, Adventure, Family, Fantasy, Sci-Fi",4145,1992-12-12,Takao Okawara
tt0104575,7,2015-11-15,Just Another Girl on the I.R.T.,https://www.imdb.com/title/tt0104575/,movie,6.4,92,1992,Drama,886,1992-09-17,Leslie Harris
tt0104694,9,2015-10-22,A League of Their Own,https://www.imdb.com/title/tt0104694/,movie,7.3,128,1992,"Comedy, Drama, Family, Sport",92024,1992-07-01,Penny Marshall
tt0104952,8,2019-12-14,My Cousin Vinny,https://www.imdb.com/title/tt0104952/,movie,7.6,120,1992,"Comedy, Crime",104634,1992-03-13,Jonathan Lynn
tt10495518,9,2019-09-29,Succession: Return,https://www.imdb.com/title/tt10495518/,tvEpisode,8.4,64,2019,Drama,1056,2019-09-22,Becky Martin
tt0105085,7,2019-03-16,The Paint Job,https://www.imdb.com/title/tt0105085/,movie,5.9,90,1992,"Comedy, Thriller",173,1992-04-27,Michael Taav
tt0105265,7,2019-03-02,A River Runs Through It,https://www.imdb.com/title/tt0105265/,movie,7.2,123,1992,Drama,52685,1992-09-13,Robert Redford
tt0106004,9,2011-12-24,Frasier,https://www.imdb.com/title/tt0106004/,tvSeries,8.0,22,1993,Comedy,71991,1993-09-16,
tt0106028,10,2010-03-13,Homicide: Life on the Street,https://www.imdb.com/title/tt0106028/,tvSeries,8.5,60,1993,"Crime, Drama, Mystery, Thriller",11341,1993-01-31,
tt0106179,9,2015-06-11,The X Files,https://www.imdb.com/title/tt0106179/,tvSeries,8.6,45,1993,"Crime, Drama, Mystery, Sci-Fi, Thriller",194617,1993-09-10,
tt0001062,8,2016-07-19,Those Awful Hats,https://www.imdb.com/title/tt0001062/,short,6.2,2,1909,"Comedy, Short",1057,1909-01-25,D.W. Griffith
tt10655016,10,2020-03-20,"One Hit Wonderland: ""The Night Chicago Died"" by Paper Lace",https://www.imdb.com/title/tt10655016/,tvEpisode,,,2019,"Documentary, History, Music",,2019-07-17,
tt10671726,8,2020-07-18,Perry Mason: Chapter Four,https://www.imdb.com/title/tt10671726/,tvEpisode,8.0,61,2020,"Crime, Drama",717,2020-07-12,Deniz Gamze Ergüven
tt0107290,8,2017-03-27,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.1,127,1993,"Action, Adventure, Sci-Fi, Thriller",849869,1993-06-09,Steven Spielberg
